Variable,log2(FC),p-value,q-value,-log10(q-value),Mean
IL-2,3.6970786567672107,2.87209648441451e-06,1.8668627148694313e-05,4.728887617973173,9.369556568901782
Granzyme B,3.3235019726907176,1.3905939886554805e-06,1.8077721852521245e-05,4.14285650323513,12.414484721454844
IFN-γ,2.1109033034753875,0.0015569589768539916,0.005060116674775472,2.2958394692023,5.81463144577147
TNF-α,1.722888083406537,0.00433826212748931,0.011279481531472204,1.9477108625154052,2.2050933731248383
Fas,1.7102500894726806,0.00035074780503270233,0.00151990715514171,2.8181829405033563,2.893020515164496
IL-10,1.2804790478879715,0.011594493993140153,0.025121403651803664,1.5999560981672476,1.6341380922008955
IL-17A,1.1591340577631901,0.019323267655666033,0.031400309940457304,1.5030660651507977,0.6434525480002417
Perforin ,0.8752021321180141,0.13461045190412918,0.19443731941707548,0.7112203748963905,7.818573809767106
IL-4,0.7391595473570245,0.015754606788081705,0.02925855546358031,1.533747119416532,2.160733595860059
FasL,0.3740193236645464,0.30542029779041313,0.3609512610250337,0.44255143658992024,4.416417475041227
Granzyme A,0.3243974165491377,0.5829127958618443,0.6314888621836646,0.1996343048629363,12.107657949298417
IL-6,0.14694925630182865,0.17258240913563352,0.22435713187632356,0.649060120535617,1.6945032662421258
Granulysin,0.1354105432883168,0.82994587278777,0.82994587278777,0.08095023041442909,7.150370995932493
